"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","ant:ant","1.6.5","Apache-2.0","","https://mvnrepository.com/artifact/ant/ant"
"java","antlr:antlr","2.7.7","BSD,PUBDOM","","https://mvnrepository.com/artifact/antlr/antlr"
"java","asm:asm","2.2.3","BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis"
"java","axis:axis-ant","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-ant"
"java","axis:axis-jaxrpc","1.4","Apache-2.0","","https://mvnrepository.com/artifact/axis/axis-jaxrpc"
"java","bsh:bsh","1.2b7","LGPL","","https://mvnrepository.com/artifact/bsh/bsh"
"java","com.sun.xml.bind:jaxb-impl","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.bind:jaxb-xjc","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-xjc"
"java","com.sun.xml.fastinfoset:FastInfoset","1.2.7","Apache-2.0","","https://mvnrepository.com/artifact/com.sun.xml.fastinfoset/FastInfoset"
"java","com.sun.xml.messaging.saaj:saaj-impl","1.3.2","CDDL-1.0,Artistic-1.0","","https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl"
"java","com.thoughtworks.xstream:xstream","1.3.1","BSD","","https://mvnrepository.com/artifact/com.thoughtworks.xstream/xstream"
"java","commons-collections:commons-collections","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-discovery:commons-discovery","0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-httpclient:commons-httpclient","3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-lang:commons-lang","2.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-lang/commons-lang"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-pool:commons-pool","1.5.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-pool/commons-pool"
"java","coop-diag","1.2.1","Apache-2.0","",""
"java","coop-trace","1.2.0","Apache-2.0","",""
"java","csi-apachesoap","1.4.5","Apache-2.0","",""
"java","csi-core","1.4.5","Apache-2.0","",""
"java","csi-ejb","1.4.5","Apache-2.0","",""
"java","csi-ejb-weblogic","1.4.5","Apache-2.0","",""
"java","csi-rmi","1.4.5","Apache-2.0","",""
"java","csi-stadapter","1.4.5","Apache-2.0","",""
"java","csi-tools","1.4.5","Apache-2.0","",""
"java","dom","1.0","CDDL","","https://mvnrepository.com/artifact/dom"
"java","ejb","2.1","CDDL","",""
"java","htmpl","1.3.2","Apache-2.0","",""
"java","jaas","1.0","CDDL","","https://mvnrepository.com/artifact/jaas"
